what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1224615162341
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1224615166263
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1224615181388
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1224615298140
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1224615299390
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1224615306547
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1224615307172
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1224615910408
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1224615911002
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1224615935597
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1224616545127
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1224616839543
activated,view,org.eclipse.ui.navigator.resources,3.3.100.I20080606-1300,org.eclipse.ui.navigator.ProjectExplorer,1224616841778
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1224616846949
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1224616848230
closed,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1224616848449
stopped,bundle,org.eclipse.jst.j2ee.xdoclet.runtime,1.1.102.v200805140135,org.eclipse.jst.j2ee.xdoclet.runtime,1224616849355
stopped,bundle,org.eclipse.jst.j2ee.ejb.annotations.xdoclet,1.2.0.v200805140020,org.eclipse.jst.j2ee.ejb.annotations.xdoclet,1224616849402
stopped,bundle,org.eclipse.jst.server.generic.jboss,1.5.205.v200805140145,org.eclipse.jst.server.generic.jboss,1224616849465
stopped,bundle,org.eclipse.jst.server.generic.jonas,1.5.205.v200805140145,org.eclipse.jst.server.generic.jonas,1224616849527
stopped,bundle,org.eclipse.jst.server.generic.oc4j,1.5.205.v200805140145,org.eclipse.jst.server.generic.oc4j,1224616849527
stopped,bundle,org.eclipse.jst.server.websphere.core,1.0.301.v200805140145,org.eclipse.jst.server.websphere.core,1224616849543
stopped,bundle,org.eclipse.jst.server.generic.ui,1.0.305.v200805140145,org.eclipse.jst.server.generic.ui,1224616849543
stopped,bundle,org.eclipse.jst.server.generic.core,1.0.305.v200805140145,org.eclipse.jst.server.generic.core,1224616849590
stopped,bundle,org.eclipse.datatools.connectivity.oda.template.ui,3.0.6.v200805152355,org.eclipse.datatools.connectivity.oda.template.ui,1224616849590
