what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.wst.sse.core,1.1.300.v200805221633,org.eclipse.wst.sse.core,1224612943665
started,bundle,org.eclipse.wst.validation,1.2.0.v200806051402,org.eclipse.wst.validation,1224612943665
started,bundle,org.eclipse.wst.ws.service.policy.ui,1.0.0.v200806031937,org.eclipse.wst.ws.service.policy.ui,1224612943665
started,bundle,org.eclipse.wst.xml.core,1.1.300.v200806051910,org.eclipse.wst.xml.core,1224612943696
started,bundle,org.eclipse.mylyn.bugzilla.core,3.0.1.v20080721-2100-e3x,org.eclipse.mylyn.bugzilla.core,1224612943696
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.0.1.v20080721-2100-e3x,org.eclipse.mylyn.bugzilla.ui,1224612943696
started,bundle,org.eclipse.mylyn.commons.net,3.0.1.v20080721-2100-e3x,org.eclipse.mylyn.commons.net,1224612943696
started,bundle,org.eclipse.mylyn.commons.ui,3.0.1.v20080721-2100-e3x,org.eclipse.mylyn.commons.ui,1224612943696
started,bundle,org.eclipse.mylyn.compatibility,3.0.1.v20080721-2100-e3x,org.eclipse.mylyn.compatibility,1224612943696
started,bundle,org.eclipse.mylyn.context.core,3.0.1.v20080721-2100-e3x,org.eclipse.mylyn.context.core,1224612943696
started,bundle,org.eclipse.mylyn.context.ui,3.0.1.v20080721-2100-e3x,org.eclipse.mylyn.context.ui,1224612943712
started,bundle,org.eclipse.mylyn.tasks.ui,3.0.1.v20080721-2100-e3x,org.eclipse.mylyn.tasks.ui,1224612943727
started,bundle,org.eclipse.mylyn.team.ui,3.0.1.v20080721-2100-e3x,org.eclipse.mylyn.team.ui,1224612943727
started,bundle,org.eclipse.mylyn.monitor.ui,3.0.1.v20080721-2100-e3x,org.eclipse.mylyn.monitor.ui,1224612944056
started,bundle,org.eclipse.wst.web,1.1.202.v200805140200,org.eclipse.wst.web,1224612944712
activated,view,org.eclipse.ui.navigator.resources,3.3.100.I20080606-1300,org.eclipse.ui.navigator.ProjectExplorer,1224613747348
started,bundle,org.eclipse.jst.jee.ui,1.0.100.v200805221242,org.eclipse.jst.jee.ui,1224613747395
started,bundle,org.eclipse.compare,3.4.0.I20080604,org.eclipse.compare,1224613749005
started,bundle,org.eclipse.ui.externaltools,3.2.0.v20080514-1542,org.eclipse.ui.externaltools,1224613753177
executed,command,org.eclipse.ant.ui,3.3.0.v20080529,org.eclipse.ant.ui.antShortcut.run,1224613753224
started,bundle,org.eclipse.jdt.debug,3.4.0.v20080604,org.eclipse.jdt.debug,1224613757803
started,bundle,org.eclipse.jdt.debug.ui,3.3.0.v20080603,org.eclipse.jdt.debug.ui,1224613759459
activated,view,org.eclipse.ui.console,3.3.0.v20080529-1300,org.eclipse.ui.console.ConsoleView,1224613782337
activated,editor,org.eclipse.ant.ui,3.3.0.v20080529,org.eclipse.ant.ui.internal.editor.AntEditor,1224613801402
activated,view,org.eclipse.ui.console,3.3.0.v20080529-1300,org.eclipse.ui.console.ConsoleView,1224613803496
