what,kind,bundleId,bundleVersion,description,time
stopped,bundle,org.eclipse.mylyn.pde.ui,3.0.1.v20080721-2100-e3x,org.eclipse.mylyn.pde.ui,1224616849621
stopped,bundle,org.eclipse.pde.api.tools.ui,1.0.0.v20080603,org.eclipse.pde.api.tools.ui,1224616849637
stopped,bundle,org.eclipse.pde.runtime,3.4.0.v20080530-1200,org.eclipse.pde.runtime,1224616849668
stopped,bundle,org.eclipse.pde.ui.templates,3.4.0.v20080514-1500,org.eclipse.pde.ui.templates,1224616849683
stopped,bundle,org.eclipse.pde.ui,3.4.0.v20080530,org.eclipse.pde.ui,1224616849699
stopped,bundle,org.eclipse.mylyn.ide.ant,3.0.1.v20080721-2100-e3x,org.eclipse.mylyn.ide.ant,1224616849715
stopped,bundle,org.eclipse.ant.ui,3.3.0.v20080529,org.eclipse.ant.ui,1224616849715
stopped,bundle,org.eclipse.jst.server.tomcat.ui,1.1.100.v20080528,org.eclipse.jst.server.tomcat.ui,1224616849730
stopped,bundle,org.eclipse.jst.server.ui,1.0.303.v200805140145,org.eclipse.jst.server.ui,1224616849746
stopped,bundle,org.eclipse.mylyn.java.tasks,3.0.1.v20080721-2100-e3x,org.eclipse.mylyn.java.tasks,1224616849746
stopped,bundle,org.eclipse.mylyn.java.ui,3.0.1.v20080721-2100-e3x,org.eclipse.mylyn.java.ui,1224616849762
stopped,bundle,org.eclipse.jdt.junit,3.4.0.v20080603-2000,org.eclipse.jdt.junit,1224616849762
stopped,bundle,org.eclipse.jem.ui,2.0.100.v200806051600,org.eclipse.jem.ui,1224616849762
stopped,bundle,org.eclipse.jst.server.preview.adapter,1.0.100.v200805140145,org.eclipse.jst.server.preview.adapter,1224616849762
stopped,bundle,com.vmware.bfg.ivd,0.8.0,com.vmware.bfg.ivd,1224616849777
stopped,bundle,org.eclipse.jdt.debug.ui,3.3.0.v20080603,org.eclipse.jdt.debug.ui,1224616849777
stopped,bundle,org.eclipse.datatools.enablement.jdt.classpath,1.0.1.v200805152355,org.eclipse.datatools.enablement.jdt.classpath,1224616849808
stopped,bundle,org.eclipse.jdt.apt.ui,3.3.100.v20080407-1345,org.eclipse.jdt.apt.ui,1224616849855
stopped,bundle,org.eclipse.jpt.eclipselink.ui,1.0.0.v200805300000,org.eclipse.jpt.eclipselink.ui,1224616849887
stopped,bundle,org.eclipse.jpt.ui,2.0.0.v200806050000,org.eclipse.jpt.ui,1224616849933
